#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-19T17:09:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562523b078bd	
#INFO	-out.max=1000	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+AS/139/135&tab:{J/A+AS/139/135/table2}&key:source=J/A+AS/139/135/table2&HTTPPRM:&
#-source=J/A+AS/139/135/table2
#-order=I
#-out=LambdaMea
#-out=DeltaV
#-out=n_DeltaV
#-out=Int
#-out=Intc
#-out=n_Intc
#-out=Line
#-out=n_Line
#-out=LambdaLab
#-out=n_LambdaLab
#-out=Mult
#-out=F
#

#RESOURCE=yCat_41390135
#Name: J/A+AS/139/135
#Title: The Optical Spectrum of RR Tel (Crawford+ 1999)
#Table	J_A_AS_139_135_table2:
#Name: J/A+AS/139/135/table2
#Title: Line list for RR Telescopii, with absolute flux calibrated intensities shown, for the wavelength range 3490 - 5530{AA}
#Column	LambdaMea	(F7.2)	Measured wavelength	[ucd=]
#Column	DeltaV	(I3)	Velocity FWHM	[ucd=]
#Column	n_DeltaV	(A1)	[h] Note on DeltaV (2)	[ucd=]
#Column	Int	(F6.3)	Measured intensity	[ucd=]
#Column	Intc	(F6.3)	Corrected intensity (1)	[ucd=]
#Column	n_Intc	(A1)	[efgkl] Note on Intc (2)	[ucd=]
#Column	Line	(a8)	Identity of line	[ucd=]
#Column	n_Line	(A1)	[j] Note on line (3)	[ucd=]
#Column	LambdaLab	(F7.2)	Laboratory wavelength	[ucd=]
#Column	n_LambdaLab	(A1)	[bcgi] Note on labLam (2)	[ucd=]
#Column	Mult	(I3)	? Multiplet number [NULL integer written as an empty string]	[ucd=]
#Column	F	(A1)	[F] F: forbidden line	[ucd=]
LambdaMea;DeltaV;n_DeltaV;Int;Intc;n_Intc;Line;n_Line;LambdaLab;n_LambdaLab;Mult;F
3585.91; 60; ; 5.610; 7.936; ;HeI     ; ;3587.25; ; 31;
3595.55; 14; ; 0.008; 0.011; ;MnI     ; ;3595.12; ;  8;
3608.20; 16; ; 0.005; 0.007; ;VII     ; ;3608.32; ;242;
3613.00; 27; ; 0.014; 0.019; ;HeI     ; ;3613.64;b;  6;
3626.40; 17; ; 0.016; 0.023; ;SIII    ; ;3626.53; ;   ;
3628.95; 21; ; 0.011; 0.016; ;ScII    ; ;3629.10; ; 18;
3630.89; 12; ; 0.002; 0.003; ;ScII    ; ;3630.74; ;  2;
3633.65; 30; ; 0.035; 0.049; ;NiII    ; ;3633.62; ;   ;
3636.79; 16; ; 0.002; 0.003;e;FeII    ; ;3636.90; ;112;
3642.15; 25; ; 0.002; 0.003; ;FII     ; ;3641.99; ; 11;
3642.55; 13; ; 0.004; 0.006; ;ScII    ; ;3642.78; ;  2;
3642.84; 13; ; 0.002; 0.002;e;FII     ; ;3642.80; ; 11;
3651.46; 26; ; 0.004; 0.005; ;ScII    ; ;3651.80; ;  2;
3652.56; 16; ; 0.002; 0.002;e;FeIII   ; ;3652.65; ;   ;
3656.09; 44; ; 0.012; 0.017;f;CIII    ; ;3656.01; ;   ;
3656.68; 38; ; 0.011; 0.016; ;SIII    ; ;3656.61; ;  6;
3657.36; 29; ; 0.009; 0.013; ;HI      ; ;3657.27; ;  7;
3658.08; 31; ; 0.013; 0.018; ;VII     ; ;3658.27; ;116;
3658.88; 29; ; 0.012; 0.017; ;HI      ; ;3658.64;b;  7;
3659.73; 32; ; 0.018; 0.026; ;HI      ; ;3659.42;b;  6;
3660.67; 37; ; 0.026; 0.036; ;HI      ; ;3660.28;b;  6;
3662.50; 43; ; 0.435; 0.615; ;[FeVI]  ; ;3662.50; ;  4;F
3664.38; 38; ; 0.053; 0.075; ;HI      ; ;3664.68;b;  6;
3665.77; 43; ; 0.072; 0.102; ;HI      ; ;3666.10;b;  5;
3667.36; 51; ; 0.107; 0.151; ;HI      ; ;3667.68;b;  5;
3668.99; 62; ; 0.226; 0.320; ;HI      ; ;3669.46;b;  5;
3668.99; 62; ; 0.226; 0.320; ;[CaVI]  ; ;3669.10; ;  1;F
3671.06; 51; ; 0.159; 0.225; ;HI      ; ;3671.48;b;  5;
3673.32; 53; ; 0.218; 0.308; ;HI      ; ;3673.76;c;  5;
3675.90; 52; ; 0.279; 0.395; ;HI      ; ;3676.37;b;  4;
3677.09; 11; ; 0.016; 0.023; ;MnI     ; ;3676.96; ;   ;
3677.37; 22; ; 0.015; 0.021;e;MnII    ; ;3677.23; ;   ;
3678.86; 52; ; 0.343; 0.485; ;HI      ; ;3679.36;b;  4;
3682.33; 57; ; 0.379; 0.536; ;HI      ; ;3682.81;b;  4;
3684.73; 18; ; 0.008; 0.011;f;MnII    ; ;3685.05; ;  8;
3686.58; 62; ; 0.508; 0.719; ;HI      ; ;3686.83;b;  4;
3689.59; 90; ; 0.079; 0.111; ;TiI     ; ;3689.91; ; 18;
3691.22; 50; ; 0.448; 0.634; ;HI      ; ;3691.56;b;  4;
3693.83; 27; ; 0.009; 0.013; ;MnI     ; ;3693.67; ;   ;
3695.16; 60; ; 0.056; 0.079; ;OIII    ; ;3695.37; ; 21;
3696.74; 52; ; 0.518; 0.733; ;HI      ; ;3697.15;b;  3;
3698.30; 50; ; 0.044; 0.062; ;OIII    ; ;3698.70; ; 21;
3702.03; 77; ; 0.077; 0.109; ;OV      ; ;3702.00; ; 16;
3702.03; 77; ; 0.077; 0.109; ;OIII    ; ;3702.75;b; 14;
3702.03; 77; ; 0.077; 0.109; ;NeII    ; ;3701.81; ; 40;
3703.40; 54; ; 0.666; 0.942; ;HI      ; ;3703.85;c;  3;
3704.54; 30; ; 0.123; 0.174; ;HeI     ; ;3705.00;c; 25;
3705.75; 64; ; 0.066; 0.093; ;TiII    ; ;3706.22; ; 73;
3705.75; 64; ; 0.066; 0.093; ;CaII    ; ;3706.03; ;  3;
3706.78; 29; ; 0.018; 0.025; ;OIII    ; ;3707.24;b; 14;
3709.99; 36; ; 0.016; 0.022; ;SIII    ; ;3710.42; ;  1;
3711.74; 53; ; 0.839; 1.187; ;HI      ; ;3711.97;c;  3;
3714.83; 40; ; 0.093; 0.132; ;OIII    ; ;3715.08;b; 14;
3714.83; 40; ; 0.093; 0.132; ;CrII    ; ;3715.19;c; 20;
3720.04; 74; ; 0.108; 0.153; ;FeII    ; ;3720.17; ; 23;
3721.51; 52; ; 1.330; 1.881; ;HI      ; ;3721.95;c;  3;
3724.99; 84; ; 2.110; 2.985; ;MnII    ; ;3724.81; ;  8;
3724.99; 84; ; 2.110; 2.985; ;OII     ; ;3725.30; ; 14;
3724.99; 84; ; 2.110; 2.985; ;[OII]   ; ;3726.08;c;  1;F
3728.74; 47; ; 0.347; 0.491; ;OIV     ; ;3729.03; ;  6;
3732.45; 46; ; 0.064; 0.090; ;HeI     ; ;3732.86;b; 24;
3734.21; 56; ; 1.400; 1.980; ;HI      ; ;3734.37;c;  3;
3736.60; 45; ; 0.272; 0.385; ;OIV     ; ;3736.78;b;  6;
3739.34; 21; ; 0.027; 0.039; ;FeII    ; ;3739.28; ;   ;
3739.89; 56; ; 0.090; 0.128; ;HeII    ; ;3740.28; ;   ;
3741.25; 14; ; 0.022; 0.032; ;FeII    ; ;3741.56; ; 15;
3744.50; 42; ; 0.037; 0.052; ;OIV     ; ;3744.73; ;  6;
3748.26; 56; ; 0.089; 0.126; ;HeII    ; ;3748.66;b;   ;
3749.78; 56; ; 1.160; 1.641; ;HI      ; ;3750.15;c;  2;
3753.41; 24; ; 0.005; 0.007; ;CrII    ; ;3753.26; ; 20;
3754.33; 30; ; 0.151; 0.214; ;OIII    ; ;3754.67;b;  2;
3755.76; 19; ; 0.044; 0.063; ;HeI     ; ;3756.10; ; 66;
3756.90; 27; ; 0.022; 0.031; ;OIII    ; ;3757.21;b;  2;
3759.06; 65; ;15.170;21.460; ;OIII    ; ;3759.87;b;  2;
3763.85; 11; ; 0.018; 0.025; ;FeII    ; ;3764.09; ; 29;
3764.59; 21; ; 0.017; 0.024; ;FeIII   ; ;3764.54; ;   ;
3764.95; 15; ; 0.015; 0.022; ;[FeV]   ; ;3764.80; ;  3;F
3768.87; 78; ; 0.158; 0.224; ;HeI     ; ;3768.81; ; 65;
3768.87; 78; ; 0.158; 0.224; ;ClII    ; ;3769.13;b;  6;
3768.87; 78; ; 0.158; 0.224; ;NiIII   ; ;3769.46;c;  4;
3770.32; 56; ; 1.540; 2.178; ;HI      ; ;3770.63;c;  2;
3773.70; 30; ; 0.053; 0.075; ;OIII    ; ;3774.00;b;  2;
3778.34; 16; ; 0.025; 0.035; ;SIII    ; ;3778.90; ;  5;
3779.26; 12; ; 0.019; 0.027; ;FeII    ; ;3779.58; ; 23;
3781.38; 52; ; 0.014; 0.020; ;HeII    ; ;3781.68;b;  5;
3783.21; 34; ; 0.220; 0.311; ;[FeV]   ; ;3783.22; ;  3;F
3784.94; 88; ; 0.056; 0.079;f;HeI     ; ;3784.89; ; 64;
3784.94; 88; ; 0.056; 0.079;f;OII     ; ;3785.01; ; 95;
3791.04; 32; ; 0.086; 0.122; ;OIII    ; ;3791.26;b;  2;
3794.97; 41; ; 0.271; 0.383; ;[FeV]   ; ;3794.94; ;  3;F
3796.00; 79; ; 0.240; 0.340; ;HeII    ; ;3796.33; ; 29;
3797.61; 56; ; 2.290; 3.239; ;HI      ; ;3797.90;c;  2;
3805.45; 25; ; 0.007; 0.009;e;CrII    ; ;3805.45; ;   ;
3806.09; 17; ; 0.025; 0.035; ;[CuII]  ; ;3806.34;c;  2;F
3806.09; 17; ; 0.025; 0.035; ;NeII    ; ;3806.30; ; 30;
3811.21; 74; ; 0.464; 0.656; ;OIII    ; ;3810.96; ;  2;
3811.21; 74; ; 0.464; 0.656; ;OVI     ; ;3811.36;g;  1;
3813.55; 60; ; 0.465; 0.658; ;HeII    ; ;3813.50;b;  4;
3813.55; 60; ; 0.465; 0.658; ;[FeVI]  ; ;3813.54; ;  3;F
3819.37; 27; ; 0.176; 0.249; ;HeI     ; ;3819.61;b; 22;
3820.11; 43; ; 0.278; 0.393; ;[FeV]   ; ;3820.20; ;  3;F
3821.93; 36; ; 0.022; 0.031;e;OII     ; ;3821.68; ; 34;
3824.67; 12; ; 0.057; 0.081; ;FeII    ; ;3824.91;c; 29;
3827.54; 20; ; 0.006; 0.009; ;FeII    ; ;3827.67; ;128;
3832.10; 15; ; 0.008; 0.011; ;CII     ; ;3832.12; ; 13;
3833.96; 71; ; 0.379; 0.536; ;HeII    ; ;3833.80;b;  4;
3833.96; 71; ; 0.379; 0.536; ;HeI     ; ;3833.57; ; 62;
3833.96; 71; ; 0.379; 0.536; ;OVI     ; ;3834.24;g;  1;
3835.29; 58; ; 2.870; 4.060; ;HI      ; ;3835.39; ;  2;
3838.15; 15; ; 0.012; 0.017; ;[FeV]   ; ;3838.10; ;  1;F
3838.59; 18; ; 0.011; 0.016; ;[FeV]   ; ;3838.90; ;  3;F
3839.53; 41; ; 0.596; 0.847; ;[FeV]   ; ;3839.50; ;   ;F
3846.92; 51; ; 0.091; 0.129; ;[FeVI]  ; ;3846.94; ;   ;F
3846.92; 51; ; 0.091; 0.129; ;[FeV]   ; ;3846.72; ;   ;F
3851.50; 51; ; 0.071; 0.101; ;[FeV]   ; ;3851.34; ;  3;F
3853.46; 17; ; 0.004; 0.005;e;SiII    ; ;3853.66; ;  1;
3855.83; 21; ; 0.037; 0.052; ;SiII    ; ;3856.02;b;  1;
3857.93; 53; ; 0.151; 0.214; ;HeII    ; ;3858.07;b;  4;
3858.98; 27; ; 0.059; 0.084; ;[NiIV]  ; ;3858.90; ;   ;F
3862.49; 22; ; 0.057; 0.081; ;SiII    ; ;3862.59;b;  1;
3868.69; 45; ;16.280;23.030; ;[NeIII] ; ;3868.74;b;  1;F
3871.57; 29; ; 0.018; 0.025; ;CII     ; ;3871.62; ; 18;
3872.57; 10; ; 0.007; 0.010; ;OII     ; ;3872.45; ; 11;
3881.29; 25; ; 0.004; 0.005;e;VII     ; ;3881.04; ;143;
3881.29; 25; ; 0.004; 0.005;e;CII     ; ;3881.20; ; 33;
3887.40; 36; ; 0.103; 0.145;e;HeII    ; ;3887.44; ;  4;
3888.93; 69; ; 4.910; 6.946; ;Hzeta   ; ;3889.05;b;  2;
3891.53; 40; ; 1.140; 1.613; ;[FeV]   ; ;3891.80;b;  3;F
3895.51; 40; ; 0.578; 0.818; ;[FeV]   ; ;3895.70;b;  1;F
3900.44; 20; ; 0.006; 0.009; ;TiII    ; ;3900.55; ; 34;
3905.24; 45; ; 0.086; 0.121; ;[FeVI]  ; ;3905.01; ;   ;F
3910.61; 11; ; 0.009; 0.013; ;[NeIII] ; ;3910.61; ;   ;F
3911.66; 39; ; 0.074; 0.104; ;OII     ; ;3911.96; ; 17;
3914.44; 12; ; 0.017; 0.024; ;FeII    ; ;3914.48;b;  3;
3918.17; 17; ; 0.009; 0.013; ;SII     ; ;3918.19; ; 29;
3923.35; 53; ; 0.246; 0.348; ;HeII    ; ;3923.48;b;  4;
3926.39; 29; ; 0.019; 0.026; ;HeI     ; ;3926.53;b; 58;
3929.02; 61; ; 0.017; 0.025; ;[FeII]  ; ;3929.35; ; 24;F
3930.18; 11; ; 0.016; 0.022; ;FeII    ; ;3930.31; ;  3;
3931.37; 36; ; 0.005; 0.007; ;[FeII]  ; ;3931.44; ;  8;F
3933.55; 39; ; 0.030; 0.043; ;CaII    ; ;3933.66; ;  1;
3936.41; 82; ; 0.049; 0.070; ;HeI     ; ;3935.91;b; 57;
3938.29; 13; ; 0.100; 0.141; ;FeII    ; ;3938.29;b;  3;
3942.99; 23; ; 0.004; 0.006;e;NIII    ; ;3942.78; ;  8;
3944.77; 30; ; 0.014; 0.019; ;OII     ; ;3945.05; ;  6;
3945.11; 12; ; 0.016; 0.023; ;FeII    ; ;3945.21;b;  3;
3956.96; 40; ; 0.034; 0.048; ;OIV     ; ;3956.82; ; 10;
3961.54; 30; ; 0.033; 0.046; ;OIII    ; ;3961.59; ; 17;
3963.10;  9; ; 0.007; 0.010; ;SII     ; ;3963.13; ; 45;
3963.36; 20; ; 0.005; 0.007;e;[FeV]   ; ;3963.35; ;   ;F
3964.73; 29; ; 0.059; 0.083; ;HeI     ; ;3964.73;b;  5;
3965.74; 12; ; 0.012; 0.017; ;ScII    ; ;3965.73; ;   ;
3965.74; 12; ; 0.012; 0.017; ;CrII    ; ;3965.75; ;   ;
3967.54; 44; ; 3.750; 5.305; ;[NeIII] ; ;3967.51;b;  1;F
3967.54; 44; ; 3.750; 5.305; ;HeII    ; ;3968.43; ;  3;
3970.02; 59; ; 4.720; 6.677; ;Hepsilon; ;3970.07; ;  1;
3974.06; 12; ; 0.032; 0.045; ;FeII    ; ;3974.16;c; 29;
3988.84; 45; ; 0.016; 0.023; ;ScII    ; ;3989.06; ;  8;
3990.68; 59; ; 0.020; 0.028; ;[NiIV]  ; ;3990.25; ;   ;F
3992.83; 84; ; 0.959; 1.357; ;[NiII]  ; ;3993.15;b;  4;F
3997.72; 37; ; 0.025; 0.035; ;[FIV]   ; ;3997.40; ;   ;
4001.67; 78; ; 0.631; 0.848; ;FeII    ; ;4002.07;c; 29;
4003.39; 35; ; 0.058; 0.078; ;[FeV]   ; ;4003.21; ;  1;F
4008.44; 26; ; 0.005; 0.006; ;ScII    ; ;4008.41; ; 16;
4009.17; 27; ; 0.021; 0.028; ;HeI     ; ;4009.27;c; 55;
4011.20; 55; ; 0.052; 0.069; ;[NaV]   ; ;4011.20; ;  1;F
4014.80; 45; ; 0.061; 0.082; ;[FeVI]  ; ;4014.56; ;   ;F
4018.40; 52; ; 0.067; 0.089; ;FeII    ; ;4018.49; ; 13;
4024.11; 38; ; 0.036; 0.049;e;FeII    ; ;4024.55; ;127;
4024.58; 33; ; 0.021; 0.028;e;FII     ; ;4024.73; ;  2;
4025.52; 47; ; 0.284; 0.382; ;HeII    ; ;4025.60; ;  3;
4025.52; 47; ; 0.284; 0.382; ;HeI     ; ;4025.49; ; 19;
4026.13; 33; ; 0.321; 0.431; ;NII     ; ;4026.08; ; 40;
4028.78; 39; ; 0.015; 0.020; ;TiII    ; ;4028.33;c; 87;
4039.92; 52; ; 0.022; 0.030; ;NII     ; ;4039.35; ;   ;
4066.98; 12; ; 0.005; 0.007; ;VII     ; ;4067.03; ;  9;
4068.03; 39; ; 0.080; 0.108; ;CIII    ; ;4067.87; ; 16;
4068.55; 16; ; 0.176; 0.236; ;[SII]   ; ;4068.60;c;  1;F
4068.90; 29; ; 0.220; 0.296; ;CIII    ; ;4068.97; ; 16;
4070.13; 42; ; 0.047; 0.063; ;CIII    ; ;4070.03;b; 16;
4070.13; 42; ; 0.047; 0.063; ;OII     ; ;4069.90; ; 10;
4071.59; 38; ; 0.444; 0.597; ;[FeV]   ; ;4071.50; ;  1;F
4074.07; 37; ; 0.012; 0.017; ;OIII    ; ;4073.90;b; 23;
4074.73; 25; ; 0.002; 0.003;e;CII     ; ;4074.89; ; 36;
4075.95; 32; ; 0.035; 0.047; ;OII     ; ;4075.87; ; 10;
4075.95; 32; ; 0.035; 0.047; ;CII     ; ;4076.00; ; 36;
4076.44; 14; ; 0.029; 0.039; ;[SII]   ; ;4076.22;b;  1;F
4076.77; 47; ; 0.086; 0.116; ;SiII    ; ;4076.78; ;   ;
4076.77; 47; ; 0.086; 0.116; ;NII     ; ;4076.83; ; 38;
4080.22; 21; ; 0.006; 0.008; ;OIII    ; ;4080.40; ;   ;
4083.71; 20; ; 0.004; 0.005;e;MnII    ; ;4083.67; ;  2;
4084.26; 35; ; 0.014; 0.019; ;[FeII]  ; ;4084.32; ; 24;F
4084.54; 28; ; 0.004; 0.006; ;OII     ; ;4084.66;b; 21;
4084.96; 21; ; 0.002; 0.003;e;OII     ; ;4085.12; ; 10;
4087.14; 20; ; 0.003; 0.005; ;OII     ; ;4087.16; ; 48;
4097.29; 30; ; 0.339; 0.455; ;NIII    ; ;4097.31;b;  1;
4100.09; 64; ; 0.481; 0.646; ;HeII    ; ;4100.04;b;  3;
4100.09; 64; ; 0.481; 0.646; ;NI      ; ;4099.95; ; 10;
4101.77; 62; ; 7.250; 9.741; ;Hdelta  ; ;4101.74;c;  1;
4103.42; 38; ; 0.214; 0.288; ;NIII    ; ;4103.37;c;  1;
4103.42; 38; ; 0.214; 0.288; ;FII     ; ;4103.30; ;  4;
4114.36; 20; ; 0.048; 0.064; ;[FeII]  ; ;4114.48; ; 23;F
4119.07; 25; ; 0.007; 0.010; ;OII     ; ;4119.23;b; 20;
4119.41; 18; ; 0.004; 0.006;e;FeII    ; ;4119.53; ; 21;
4120.73; 32; ; 0.039; 0.052; ;HeI     ; ;4120.80; ; 16;
4122.56; 13; ; 0.039; 0.052; ;[KV]    ; ;4123.78; ;  1;F
4124.71; 11; ; 0.005; 0.007; ;FeII    ; ;4124.79; ; 22;
4128.10; 12; ; 0.017; 0.023; ;SiII    ; ;4128.05;c;  3;
4128.72; 19; ; 0.016; 0.021; ;FeII    ; ;4128.74;c; 27;
4138.62; 11; ; 0.004; 0.005; ;FeII    ; ;4138.40; ; 39;
4143.97; 56; ; 0.315; 0.423; ;HeI     ; ;4143.76;c; 53;
4147.10; 13; ; 0.003; 0.004; ;SII     ; ;4146.94; ; 65;
4152.27; 39; ; 0.063; 0.084; ;CIII    ; ;4152.43; ; 21;
4156.46; 34; ; 0.006; 0.007; ;CIII    ; ;4156.50; ; 21;
4163.46; 27; ; 0.006; 0.008; ;[KV]    ; ;4163.30;b;  1;F
4163.81; 11; ; 0.002; 0.002;e;TiII    ; ;4163.64; ;105;
4172.04; 94; ; 0.078; 0.105;e;FeII    ; ;4172.20; ;148;
4173.47; 14; ; 0.117; 0.157; ;FeII    ; ;4173.45;c; 27;
4177.18; 17; ; 0.087; 0.116; ;[FeII]  ; ;4177.21; ; 21;F
4177.61; 22; ; 0.061; 0.082; ;FeII    ; ;4177.70;c; 21;
4178.81; 14; ; 0.185; 0.249; ;FeII    ; ;4178.86;c; 28;
4181.10; 37; ; 0.228; 0.306; ;[FeV]   ; ;4181.30;b;  1;F
4185.41; 30; ; 0.006; 0.008; ;OII     ; ;4185.46; ; 36;
4186.85; 30; ; 0.024; 0.033; ;CIII    ; ;4187.05;b; 18;
4187.79; 17; ; 0.005; 0.006; ;[TiII]  ; ;4187.46; ; 20;F
4189.79; 46; ; 0.021; 0.028; ;OII     ; ;4189.77;b; 36;
4189.79; 46; ; 0.021; 0.028; ;SII     ; ;4189.71; ; 44;
4195.82; 80; ; 0.036; 0.048; ;NIII    ; ;4195.70;b;  6;
4199.05; 70; ; 0.474; 0.637; ;CrII    ; ;4199.02; ;180;
4199.96; 55; ; 0.428; 0.575; ;HeII    ; ;4199.83;b;  3;
4201.36; 17; ; 0.009; 0.012; ;[NiII]  ; ;4201.19;c;  3;F
4206.48; 50; ; 0.070; 0.094; ;[FeIV]  ; ;4206.30; ;   ;F
4208.95; 35; ; 0.044; 0.059; ;CrII    ; ;4209.02; ;162;
4211.06; 15; ; 0.016; 0.022; ;[FeII]  ; ;4211.10; ; 23;F
4211.38; 22; ; 0.006; 0.008; ;FeIII   ; ;4211.51; ;104;
4214.78; 12; ; 0.013; 0.017; ;NI      ; ;4214.73; ;  5;
4227.77; 71; ; 0.066; 0.089; ;[FeV]   ; ;4227.74;b;  2;F
4231.71; 15; ; 0.005; 0.007;e;NeII    ; ;4231.60; ; 52;
4232.39; 12; ; 0.008; 0.011; ;VII     ; ;4232.07; ;225;
4233.20; 14; ; 0.202; 0.271; ;FeII    ; ;4233.17;c; 27;
4238.41; 89; ; 0.117; 0.157; ;CrII    ; ;4238.69; ; 17;
4243.92; 15; ; 0.357; 0.480; ;[FeII]  ; ;4243.98;c; 21;F
4244.76; 13; ; 0.061; 0.082; ;[FeII]  ; ;4244.81; ; 21;F
4247.20; 76; ; 1.260; 1.693; ;CIII    ; ;4247.56; ; 11;
4247.20; 76; ; 1.260; 1.693; ;ScII    ; ;4246.83; ;  7;
4251.51; 39; ; 0.015; 0.020; ;[FeII]  ; ;4251.49; ; 23;F
4258.22; 16; ; 0.024; 0.032; ;FeII    ; ;4258.16;b; 28;
4267.21; 39; ; 0.018; 0.024; ;CII     ; ;4267.27;b;  6;
4273.29; 12; ; 0.011; 0.015; ;FeII    ; ;4273.32; ; 27;
4275.51; 20; ; 0.004; 0.006; ;OII     ; ;4275.52; ; 67;
4276.78; 15; ; 0.263; 0.353; ;[FeII]  ; ;4276.83;b; 21;F
4277.08; 23; ; 0.113; 0.152; ;[FeII]  ; ;4276.83; ; 21;F
4278.10; 12; ; 0.014; 0.019; ;FeII    ; ;4278.13;b; 32;
4287.41; 16; ; 0.359; 0.482; ;[FeII]  ; ;4287.40;b;  7;F
4290.29; 11; ; 0.006; 0.008; ;TiII    ; ;4290.22; ; 41;
4290.29; 11; ; 0.006; 0.008; ;NeII    ; ;4290.40; ; 57;
4294.26; 10; ; 0.004; 0.005; ;[NiII]  ; ;4294.11; ;  4;F
4294.26; 10; ; 0.004; 0.005; ;TiII    ; ;4294.09; ; 20;
4296.63; 11; ; 0.080; 0.108; ;FeII    ; ;4296.57;c; 28;
4300.08; 12; ; 0.005; 0.006; ;MnII    ; ;4300.20; ;  6;
4301.95;  8; ; 0.004; 0.006; ;[CrV]   ; ;4302.30; ;  3;F
4303.15; 12; ; 0.054; 0.072; ;FeII    ; ;4303.66;c; 27;
4305.85; 14; ; 0.058; 0.077; ;[FeII]  ; ;4305.90; ; 21;F
